Column1,주유소명,시도명,시군구명,소재지도로명주소,소재지지번주소,행정동
50,대구주유소,대구광역시,북구,대구광역시 북구 노원로 97 (노원동3가),,노원동3가
51,(주)영신에너지,대구광역시,북구,대구광역시 북구 노원로 164 (노원동3가),,노원동3가
52,흥구석유(주)산격주유소,대구광역시,북구,대구광역시 북구 동북로 39 (산격동),,산격동
53,신흥주유소,대구광역시,북구,대구광역시 북구 동북로 65-2 (산격동),,산격동
54,중앙주유소,대구광역시,북구,대구광역시 북구 동북로 315 (복현동),,복현동
55,케이케이(주)침산주유소,대구광역시,북구,대구광역시 북구 노원로 255 (침산동),,침산동
56,대훈남주유소,대구광역시,북구,대구광역시 북구 칠곡중앙대로 174 (태전동),,태전동
57,에이치디현대오일뱅크(주)직영칠곡주유소,대구광역시,북구,대구광역시 북구 칠곡중앙대로 482 (읍내동),,읍내동
58,팔달41주유소,대구광역시,북구,대구광역시 북구 팔달로 41 (노원동3가),,노원동3가
59,오페라주유소,대구광역시,북구,대구광역시 북구 중앙대로 580 (침산동),,침산동
60,흥구석유(주)원대주유소,대구광역시,북구,대구광역시 북구 팔달로 67 (노원동3가),,노원동3가
61,SK에너지(주)한일주유소,대구광역시,북구,대구광역시 북구 칠곡중앙대로 315 (태전동),,태전동
62,해바라기Self주유소,대구광역시,북구,대구광역시 북구 대현로 81 (대현동),,대현동
63,대성산업(주)대성주유소,대구광역시,북구,대구광역시 북구 침산로 62 (칠성동2가),,칠성동2가
64,(주)아스트로 주유소,대구광역시,북구,대구광역시 북구 팔달로 215 (노원동2가),,노원동2가
65,대망주유소,대구광역시,북구,대구광역시 북구 중앙대로 601 (침산동),,침산동
66,SK성당주유소,대구광역시,남구,대구광역시 남구 성당로 280,대구광역시 남구 (대명동) 2284-1,대명동
