번호,소속지회,경로당명,주소,위도,경도
1385,수성구지회,황금미진아파트경로당,대구광역시 수성구 청솔로12길 40 ,35.850057894,128.622755654
1386,수성구지회,힐스테이트황금엘포레경로당,대구광역시 수성구 청솔로 16 ,35.848273118,128.620744253
1387,수성구지회,중동제1경로당,대구광역시 수성구 수성로39안길 5 ,35.843631904,128.611380580
1388,수성구지회,중부리경로당,대구광역시 수성구 수성로52안길 7-10 ,35.849891122,128.615177563
1389,수성구지회,상록수경로당,대구광역시 수성구 들안로29길 26-18 ,35.844395613,128.615343692
1390,수성구지회,광명아파트경로당,대구광역시 수성구 수성로 165 ,35.840467008,128.611956973
1391,수성구지회,서울중동경로당,대구광역시 수성구 신천동로 216 ,35.844626194,128.608337232
1392,수성구지회,수성효성해링턴플레이스경로당,대구광역시 수성구 희망로24길 24 ,35.845695812,128.609756587
1393,수성구지회,상동공원경로당,대구광역시 수성구 들안로13길 118 ,35.839281795,128.615148228
1394,수성구지회,상동제2경로당,대구광역시 수성구 수성로15길 42-6 ,35.833029507,128.608813321
1395,수성구지회,한들경로당,대구광역시 수성구 수성로32길 99 ,35.836735943,128.613457461
1396,수성구지회,덕화경로당,대구광역시 수성구 들안로9길 56 ,35.832126877,128.615461103
1397,수성구지회,상동청구타운경로당,대구광역시 수성구 수성로19길 41,35.833601192,128.609095254
1398,수성구지회,정화우방팔레스경로당,대구광역시 수성구 수성로135 ,35.838371380,128.611263785
1399,수성구지회,수성동일하이빌경로당,대구광역시 수성구 수성로 71 ,35.832660525,128.610972121
1400,수성구지회,파동 제1경로당,대구광역시 수성구 파동로38길 45-13 ,35.818736177,128.614707735
1401,수성구지회,파동 제2경로당,대구광역시 수성구 파동로18길 56 ,35.811538287,128.621041114
1402,수성구지회,대자연1차경로당,대구광역시 수성구 파동로 120 ,35.815294854,128.615715122
1403,수성구지회,대자연2차경로당,대구광역시 수성구 파동로 84 ,35.812656354,128.618377987
1404,수성구지회,송원맨션경로당,대구광역시 수성구 파동로 223 ,35.822874788,128.610659158
1405,수성구지회,동신실리안경로당,대구광역시 수성구 파동로 209 ,35.821386297,128.611504643
1406,수성구지회,화성파크뷰경로당,대구광역시 수성구 파동로 19 ,35.806443702,128.621793723
1407,수성구지회,청구하이츠경로당,대구광역시 수성구 파동로12길 40 ,35.809602546,128.622418095
1408,수성구지회,파동 태왕리더스경로당,대구광역시 수성구 파동로 105 ,35.812760473,128.616434342
1409,수성구지회,수성못코오롱하늘채경로당,대구광역시 수성구 파동로 222 ,35.822555078,128.611722627
1410,수성구지회,남광타운경로당,대구광역시 수성구 파동로 22길 3 ,35.813781488,128.617111968
1411,수성구지회,두산경로당,대구광역시 수성구 들안로8길 68-5 ,35.834171497,128.619669105
1412,수성구지회,두산제1경로당,대구광역시 수성구 지범로21-11 ,35.829073986,128.624889482
1413,수성구지회,대우트럼프월드 수성경로당,대구광역시 수성구 동대구로 59 ,35.835909363,128.623068307
1414,수성구지회,수성SK리더스뷰경로당,대구광역시 수성구 동대구로 95 ,35.837858497,128.623358860
1415,수성구지회,지산경로당,대구광역시 수성구 지산로11길 6-19 ,35.826977739,128.633088470
1416,수성구지회,수동경로당,대구광역시 수성구 지범로31안길 3-14 ,35.824155502,128.640357240
