학교명,소재지지번주소,위도,경도
대구노변초등학교,대구광역시 수성구 시지동 497,35.83774464,128.6976282
대구전자공업고등학교,대구광역시 달서구 장기동 464-10,35.84793267,128.5297971
경신중학교,대구광역시 수성구 범어동 100-5,35.855437,128.6375875
대구한솔초등학교,대구광역시 달서구 유천동 609,35.816545,128.5156958
대구학남초등학교,대구광역시 북구 국우동 1079-1,35.94624601,128.566272
대구강동초등학교,대구광역시 동구 신서동 544,35.86809748,128.7302387
대구동산초등학교,대구광역시 수성구 범어동 678-3,35.84914164,128.628072
유가중학교,대구광역시 달성군 유가읍 봉리 626,35.69112229,128.4676564
대구유천초등학교,대구광역시 달서구 유천동 327-1,35.8125707,128.5118589
대구송원초등학교,대구광역시 군위군 소보면 송원리 675,36.25434194,128.4760713
대구범물초등학교,대구광역시 수성구 범물동 1279-1,35.82148369,128.6448582
청구중학교,대구광역시 동구 신천동 850-6,35.868658,128.6205716
달성고등학교,대구광역시 서구 내당동 467-1,35.85893186,128.5553428
군위중학교,대구광역시 군위군 군위읍 정리 248-12,36.24547463,128.5697899
대구대덕초등학교,대구광역시 남구 대명동 1571-1,35.830489,128.5616737
관음중학교,대구광역시 북구 관음동 1340,35.941011,128.5464748
대구남산초등학교,대구광역시 중구 남산동 122,35.86322075,128.5827674
대구들안길초등학교,대구광역시 수성구 두산동 28-2,35.838897,128.6184098
대구동인초등학교,대구광역시 중구 동인동4가 388,35.86808439,128.6095062
대구체육중학교,대구광역시 북구 동호동 463-2,35.95879744,128.5577173
범일중학교,대구광역시 수성구 범물동 1279-2,35.821125,128.644716
대구초등학교,대구광역시 중구 봉산동 57,35.86403787,128.5953715
대구팔공중학교,대구광역시 동구 지묘동 1163,35.947199,128.6252872
대구남부초등학교,대구광역시 달서구 성당동 660,35.84444132,128.5499618
대구사수초등학교,대구광역시 북구 사수동 814,35.90014837,128.5152482
서변중학교,대구광역시 북구 서변동 1730,35.92636083,128.595695
상인중학교,대구광역시 달서구 상인동 1561,35.81135533,128.5501219
대구동변초등학교,대구광역시 북구 동변동 694,35.91913153,128.6041651
대구서재초등학교,대구광역시 달성군 다사읍 서재리 262,35.87192218,128.4983801
와룡고등학교,대구광역시 달서구 이곡동 1318,35.86137993,128.503679
군위고등학교,대구광역시 군위군 군위읍 정리 291,36.24547463,128.5697899
대곡중학교,대구광역시 달서구 도원동 1441,35.80633289,128.5325413
대구성산초등학교,대구광역시 달서구 용산동 419-4,35.85789464,128.5189193
다사고등학교,대구광역시 달성군 다사읍 죽곡리 5-5,35.86110567,128.4627608
북동중학교,대구광역시 달성군 논공읍 남리 318,35.73243383,128.4374066
논공중학교,대구광역시 달성군 논공읍 남리 717-5,35.72382525,128.4572009
구암중학교,대구광역시 북구 구암동 694-2,35.927514,128.557125
대구대실초등학교,대구광역시 달성군 다사읍 죽곡리 820,35.85308854,128.4678979
용산중학교,대구광역시 달서구 용산동 888,35.85416455,128.5323609
대구달서초등학교,대구광역시 서구 중리동 65-2,35.86684409,128.550547
대구하빈초등학교,대구광역시 달성군 하빈면 현내리 855-3,35.901637,128.4421117
대구효목초등학교,대구광역시 동구 효목동 633,35.8760038,128.6415759
심인중학교,대구광역시 달성군 다사읍 죽곡리 820,35.853103,128.4667003
상인고등학교,대구광역시 달서구 상인동 1562,35.81045198,128.5512979
대구옥산초등학교,대구광역시 북구 칠성동2가 395-1,35.8808955,128.5978756
대구두류초등학교,대구광역시 서구 내당동 211-1,35.86161552,128.559976
대구과학기술고등학교,대구광역시 서구 내당동 456-1,35.85749282,128.5482964
대구북부초등학교,대구광역시 북구 동천동 880,35.93347965,128.559214
경덕여자고등학교,대구광역시 서구 중리동 100-1,35.86357119,128.5489381
대명중학교,대구광역시 남구 대명동 519,35.83308922,128.5767451
시지중학교,대구광역시 수성구 신매동 583-1,35.83551752,128.708958
송현여자중학교,대구광역시 달서구 송현동 540,35.83112106,128.5462157
경일여자중학교,대구광역시 남구 봉덕동 1322-1,35.83640873,128.5968171
대구구암초등학교,대구광역시 북구 구암동 694-1,35.928101,128.5577604
대곡고등학교,대구광역시 달서구 도원동 1459,35.80323736,128.536857
대구수창초등학교,대구광역시 중구 수창동 73,35.874292,128.5834453
대구용호초등학교,대구광역시 동구 방촌동 1113-319,35.8773574,128.672365
대구동신초등학교,대구광역시 동구 신암동 487,35.87827471,128.6150277
대구중리초등학교,대구광역시 서구 이현동 48-145,35.86971383,128.545439
대구매천초등학교,대구광역시 북구 매천동 176,35.91332651,128.5410367
대구남명초등학교,대구광역시 남구 대명동 483,35.83436385,128.5819866
대구경운초등학교,대구광역시 서구 내당동 296,35.86088038,128.5527191
대구태암초등학교,대구광역시 북구 태전동 1076-8,35.92308728,128.5505021
대구서촌초등학교,대구광역시 동구 중대동 1082-1,35.98040487,128.6317462
복현중학교,대구광역시 북구 복현동 301-17,35.89394102,128.6279506
대구대곡초등학교,대구광역시 달서구 도원동 1458,35.8032986,128.5357039
대구칠곡초등학교,대구광역시 북구 읍내동 794,35.94395113,128.5495513
대구봉무초등학교,대구광역시 동구 봉무동 1527,35.92580017,128.637438
대구공업고등학교,대구광역시 동구 신암동 811,35.88321267,128.6141702
대구동촌초등학교,대구광역시 동구 방촌동 1047,35.88202794,128.6589293
대구효동초등학교,대구광역시 동구 효목동 212-10,35.88412627,128.644769
경원고등학교,대구광역시 달서구 용산동 6,35.86547932,128.525679
대진중학교,대구광역시 달서구 대곡동 1036-1,35.80572575,128.5195259
대구불로초등학교,대구광역시 동구 불로동 1017,35.89748035,128.633502
대구내서초등학교,대구광역시 서구 내당동 11-33,35.86381964,128.5667600041
함지고등학교,대구광역시 북구 구암동 488-3,35.92786841,128.5605125
동촌중학교,대구광역시 동구 방촌동 1047-4,35.88202794,128.6589293
대구여자고등학교,대구광역시 수성구 범어동 240-4,35.856509,128.6298641
