,EMD_CD,EMD_KOR_NM,주유소,과학·기술,교육,보건의료,부동산,소매,수리·개인,숙박,시설관리·임대,예술·스포츠,음식,상업수
172,27290101,성당동,3,80.0,37.0,5.0,40.0,249.0,179.0,15.0,36.0,41.0,322.0,1004.0
173,27290102,두류동,0,204.0,48.0,18.0,57.0,366.0,196.0,11.0,99.0,72.0,535.0,1606.0
174,27290104,파호동,0,9.0,8.0,0.0,3.0,17.0,23.0,0.0,2.0,8.0,57.0,127.0
175,27290105,호림동,1,7.0,2.0,1.0,8.0,196.0,32.0,19.0,3.0,7.0,93.0,368.0
176,27290106,갈산동,0,34.0,1.0,0.0,10.0,29.0,10.0,0.0,11.0,1.0,54.0,150.0
177,27290107,신당동,4,116.0,19.0,3.0,61.0,301.0,151.0,9.0,36.0,59.0,509.0,1264.0
178,27290108,이곡동,2,92.0,90.0,21.0,37.0,276.0,173.0,13.0,51.0,122.0,535.0,1410.0
179,27290109,장동,3,25.0,0.0,0.0,5.0,23.0,49.0,0.0,7.0,0.0,20.0,129.0
180,27290110,장기동,1,52.0,44.0,4.0,32.0,126.0,124.0,1.0,17.0,38.0,237.0,675.0
181,27290111,용산동,2,117.0,42.0,12.0,24.0,351.0,187.0,0.0,54.0,91.0,464.0,1342.0
182,27290112,죽전동,2,65.0,21.0,18.0,17.0,130.0,104.0,4.0,31.0,32.0,152.0,574.0
183,27290113,감삼동,2,126.0,64.0,31.0,73.0,364.0,261.0,7.0,52.0,57.0,506.0,1541.0
184,27290114,본리동,5,40.0,22.0,8.0,38.0,152.0,81.0,9.0,22.0,46.0,237.0,655.0
185,27290115,상인동,5,123.0,154.0,35.0,49.0,627.0,327.0,3.0,45.0,145.0,883.0,2391.0
186,27290117,진천동,3,59.0,69.0,18.0,59.0,298.0,221.0,2.0,32.0,52.0,450.0,1260.0
187,27290118,유천동,3,9.0,60.0,2.0,6.0,62.0,48.0,0.0,1.0,18.0,74.0,280.0
188,27290119,대천동,3,32.0,88.0,10.0,15.0,117.0,68.0,0.0,5.0,26.0,145.0,506.0
189,27290120,월성동,3,68.0,161.0,26.0,41.0,270.0,203.0,0.0,23.0,102.0,425.0,1319.0
190,27290121,월암동,4,21.0,2.0,0.0,7.0,36.0,26.0,2.0,16.0,2.0,54.0,166.0
